Index	Time	Actin Mean base+0	Actin Area base+0	Actin Mean base+1	Actin Area base+1	Actin Mean base+2	Actin Area base+2	Actin Mean base+3	Actin Area base+3	Actin Mean base+4	Actin Area base+4	Actin Mean base+5	Actin Area base+5	Actin Mean base+6	Actin Area base+6	Actin Mean base+7	Actin Area base+7	Actin Mean base+8	Actin Area base+8	Actin Mean base+9	Actin Area base+9	Actin Mean base+10	Actin Area base+10	Actin Mean base+11	Actin Area base+11	Actin Mean base+12	Actin Area base+12	Actin Mean base+13	Actin Area base+13	Actin Mean base+14	Actin Area base+14	Actin Mean base+15	Actin Area base+15	Actin Mean base+16	Actin Area base+16
1.000	0.000	2786.414	0.641	2320.424	0.730	2128.027	1.614	1706.315	1.194	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.000	0.000	1868.725	1.526	1745.731	1.481	1693.559	1.504	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.000	0.000	1945.636	0.730	1971.392	1.128	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4.000	0.000	2187.489	3.074	1890.083	0.531	2007.417	2.278	2113.402	2.477	2066.068	4.533	1721.171	2.322	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5.000	0.000	2303.648	3.206	1906.770	2.211	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6.000	0.000	1811.431	1.437	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
7.000	0.000	2566.245	2.344	2606.189	2.808	2081.943	3.118	1912.623	3.339	1576.806	0.796	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
8.000	0.000	2137.677	0.685	2582.470	5.506	1889.784	5.926	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
9.000	0.000	1916.241	1.924	1533.472	0.796	1538.364	0.486	1594.844	0.708	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10.000	0.000	2694.862	2.565	2622.353	1.128	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
11.000	0.000	2178.580	1.526	1756.827	1.150	1639.368	0.420	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
12.000	0.000	2603.027	3.317	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
13.000	0.000	2693.345	3.648	2857.497	3.604	2418.837	5.572	2379.701	3.472	1997.033	2.653	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
14.000	0.000	1542.593	1.305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
15.000	0.000	2444.558	1.703	2013.722	0.398	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
16.000	0.000	3608.201	3.074	3749.119	5.749	3168.545	6.656	2693.743	7.474	2613.205	4.754	2568.833	4.245	2569.013	3.383	2447.230	3.560	2360.562	3.184	2370.978	3.007	2158.531	1.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
17.000	0.000	2594.571	2.631	2411.840	3.582	2382.131	3.383	2225.656	3.339	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
